episode,seed,success,chain_closed,collision,timeout,steps,perception_attention_mass_mean,perception_attention_mass_during_failure,perception_edge_density_mean,communication_attention_mass_mean,communication_attention_mass_during_failure,communication_edge_density_mean,task_support_attention_mass_mean,task_support_attention_mass_during_failure,task_support_edge_density_mean,global_attention_mass_mean,global_attention_mass_during_failure,global_edge_density_mean,task_support_active_rate,communication_active_rate,perception_active_rate
0,140000,0.0,0.0,0.0,1.0,260.0,0.009475160275514309,0.018852596543729304,0.004326923076923077,0.7499999997134392,0.75,0.22403846153846155,0.016472748552377407,0.02895563654601574,0.010576923076923078,0.0,0.0,0.2283653846153846,0.1346153846153846,1.0,0.06923076923076923
1,140001,0.0,0.0,0.0,1.0,260.0,0.012677872639435988,0.027503310330212118,0.0057692307692307696,0.7500000002292486,0.750000000745058,0.221875,0.015144374737372766,0.02204094175249338,0.00985576923076923,0.0,0.0,0.22764423076923077,0.11923076923076924,1.0,0.08461538461538462
2,140002,0.0,0.0,0.0,1.0,260.0,0.010520895455892269,0.022231141291558742,0.004807692307692308,0.7499999999426878,0.75,0.22283653846153847,0.018674979588160147,0.03536139391362667,0.01201923076923077,0.0,0.0,0.22764423076923077,0.16153846153846155,1.0,0.07307692307692308
3,140003,0.0,0.0,0.0,1.0,260.0,0.012675855652644084,0.027483615651726724,0.0057692307692307696,0.7500000006877459,0.75,0.22235576923076922,0.019180519248430547,0.028739102464169265,0.012740384615384615,0.0,0.0,0.228125,0.16153846153846155,1.0,0.08461538461538462
4,140004,0.0,0.0,0.0,1.0,260.0,0.010015499477203076,0.018879302591085435,0.0045673076923076926,0.7500000001146243,0.75,0.21947115384615384,0.015502564551738592,0.027453174442052843,0.00985576923076923,0.0,0.0,0.22403846153846155,0.1346153846153846,1.0,0.07307692307692308
5,140005,0.0,0.0,0.0,1.0,260.0,0.012125496394359149,0.025714668445289135,0.005528846153846154,0.7500000006304337,0.7500000014901161,0.2230769230769231,0.01822384183223431,0.02519028028473258,0.011778846153846154,0.0,0.0,0.22860576923076922,0.1423076923076923,1.0,0.08076923076923077
6,140006,0.0,0.0,0.0,1.0,260.0,0.010489491315988394,0.023837920278310776,0.004807692307692308,0.7500000000573122,0.7500000005587936,0.2230769230769231,0.017318069906188893,0.034116900991648436,0.011057692307692308,0.0,0.0,0.22788461538461538,0.15384615384615385,1.0,0.07307692307692308
7,140007,0.0,0.0,0.0,1.0,260.0,0.008918130283172314,0.017027818970382212,0.004086538461538462,0.7499999997134392,0.75,0.2230769230769231,0.016940122412947508,0.030674893222749234,0.011057692307692308,0.0,0.0,0.22716346153846154,0.13846153846153847,1.0,0.06538461538461539
8,140008,0.0,0.0,0.0,1.0,260.0,0.012676394616182033,0.03093979824334383,0.0057692307692307696,0.7499999999426878,0.7499999998137354,0.2247596153846154,0.019930687317481408,0.038540829345583914,0.012740384615384615,0.0,0.0,0.23052884615384617,0.17307692307692307,1.0,0.08076923076923077
9,140009,0.0,0.0,0.0,1.0,260.0,0.011579962819814682,0.02565352153033018,0.005288461538461539,0.7499999999426878,0.75,0.22283653846153847,0.01656539311202673,0.026109873317182064,0.010817307692307692,0.0,0.0,0.228125,0.13846153846153847,1.0,0.07692307692307693
