layer,relation,receiver_role,receiver_role_name,sender_role,sender_role_name,gate_mean,gate_std,gate_min,gate_max,gate_abs_delta_from_0_5
layer1,perception,0,scout,0,scout,0.5004591345787048,0.002065471839159727,0.49706321954727173,0.5030076503753662,0.000459134578704834
layer1,perception,0,scout,1,relay,0.5,0.0,0.5,0.5,0.0
layer1,perception,0,scout,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,perception,0,scout,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,perception,0,scout,4,target,0.5002386569976807,0.002016309183090925,0.49720582365989685,0.5029146075248718,0.00023865699768066406
layer1,perception,1,relay,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,perception,1,relay,1,relay,0.5006924867630005,0.001986065413802862,0.4972344636917114,0.5032326579093933,0.0006924867630004883
layer1,perception,1,relay,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,perception,1,relay,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,perception,1,relay,4,target,0.5001770257949829,0.0018290356965735555,0.49724483489990234,0.5028561949729919,0.00017702579498291016
layer1,perception,2,attacker,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,perception,2,attacker,1,relay,0.5,0.0,0.5,0.5,0.0
layer1,perception,2,attacker,2,attacker,0.500190258026123,0.002251133555546403,0.4970303475856781,0.5031163692474365,0.00019025802612304688
layer1,perception,2,attacker,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,perception,2,attacker,4,target,0.5005369186401367,0.0019536425825208426,0.4971475899219513,0.5029454827308655,0.0005369186401367188
layer1,perception,3,interceptor,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,perception,3,interceptor,1,relay,0.5,0.0,0.5,0.5,0.0
layer1,perception,3,interceptor,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,perception,3,interceptor,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,perception,3,interceptor,4,target,0.5,0.0,0.5,0.5,0.0
layer1,perception,4,target,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,perception,4,target,1,relay,0.5,0.0,0.5,0.5,0.0
layer1,perception,4,target,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,perception,4,target,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,perception,4,target,4,target,0.5002846121788025,0.0016967508709058166,0.49717116355895996,0.5027783513069153,0.00028461217880249023
layer1,communication,0,scout,0,scout,0.5006771683692932,0.0019643136765807867,0.49712154269218445,0.5029821395874023,0.0006771683692932129
layer1,communication,0,scout,1,relay,0.5003694295883179,0.0017408388666808605,0.49701669812202454,0.5029414296150208,0.0003694295883178711
layer1,communication,0,scout,2,attacker,0.4998784065246582,0.0018576013389974833,0.4970998167991638,0.5028185248374939,0.00012159347534179688
layer1,communication,0,scout,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,communication,0,scout,4,target,0.5,0.0,0.5,0.5,0.0
layer1,communication,1,relay,0,scout,0.5001183748245239,0.0022117116022855043,0.49697017669677734,0.5031082630157471,0.00011837482452392578
layer1,communication,1,relay,1,relay,0.5005786418914795,0.0021781546529382467,0.4970744848251343,0.5030511021614075,0.0005786418914794922
layer1,communication,1,relay,2,attacker,0.5000044107437134,0.0020832044538110495,0.4971264898777008,0.5030401945114136,4.410743713378906e-06
layer1,communication,1,relay,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,communication,1,relay,4,target,0.5,0.0,0.5,0.5,0.0
layer1,communication,2,attacker,0,scout,0.5000514388084412,0.001875610207207501,0.4971056878566742,0.5028162002563477,5.143880844116211e-05
layer1,communication,2,attacker,1,relay,0.5002013444900513,0.0019988680724054575,0.49706417322158813,0.5030215382575989,0.00020134449005126953
layer1,communication,2,attacker,2,attacker,0.5009294748306274,0.0020121028646826744,0.4971793591976166,0.5032049417495728,0.0009294748306274414
layer1,communication,2,attacker,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,communication,2,attacker,4,target,0.5,0.0,0.5,0.5,0.0
layer1,communication,3,interceptor,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,communication,3,interceptor,1,relay,0.5,0.0,0.5,0.5,0.0
layer1,communication,3,interceptor,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,communication,3,interceptor,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,communication,3,interceptor,4,target,0.5,0.0,0.5,0.5,0.0
layer1,communication,4,target,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,communication,4,target,1,relay,0.5,0.0,0.5,0.5,0.0
layer1,communication,4,target,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,communication,4,target,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,communication,4,target,4,target,0.4998568296432495,0.0014984880108386278,0.4971536099910736,0.5026401877403259,0.00014317035675048828
layer1,task_support,0,scout,0,scout,0.5003243684768677,0.0019457294838503003,0.49705493450164795,0.503117024898529,0.0003243684768676758
layer1,task_support,0,scout,1,relay,0.49971461296081543,0.0018212806899100542,0.49708282947540283,0.5029083490371704,0.0002853870391845703
layer1,task_support,0,scout,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,task_support,0,scout,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,task_support,0,scout,4,target,0.5,0.0,0.5,0.5,0.0
layer1,task_support,1,relay,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,task_support,1,relay,1,relay,0.5002567768096924,0.0019436811562627554,0.49692636728286743,0.5030980110168457,0.0002567768096923828
