layer,relation,receiver_role,receiver_role_name,sender_role,sender_role_name,gate_mean,gate_std,gate_min,gate_max,gate_abs_delta_from_0_5
layer1,perception,0,scout,0,scout,0.49998098611831665,0.00019838342268485576,0.49972376227378845,0.5002725720405579,1.901388168334961e-05
layer1,perception,0,scout,1,relay,0.5,0.0,0.5,0.5,0.0
layer1,perception,0,scout,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,perception,0,scout,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,perception,0,scout,4,target,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer1,perception,1,relay,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,perception,1,relay,1,relay,0.5000355839729309,0.00017885424313135445,0.49972912669181824,0.5002813339233398,3.55839729309082e-05
layer1,perception,1,relay,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,perception,1,relay,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,perception,1,relay,4,target,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer1,perception,2,attacker,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,perception,2,attacker,1,relay,0.5,0.0,0.5,0.5,0.0
layer1,perception,2,attacker,2,attacker,0.5000031590461731,0.00015717148198746145,0.4997381269931793,0.5002689361572266,3.159046173095703e-06
layer1,perception,2,attacker,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,perception,2,attacker,4,target,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer1,perception,3,interceptor,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,perception,3,interceptor,1,relay,0.5,0.0,0.5,0.5,0.0
layer1,perception,3,interceptor,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,perception,3,interceptor,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,perception,3,interceptor,4,target,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer1,perception,4,target,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,perception,4,target,1,relay,0.5,0.0,0.5,0.5,0.0
layer1,perception,4,target,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,perception,4,target,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,perception,4,target,4,target,0.5,0.0,0.5,0.5,0.0
layer1,communication,0,scout,0,scout,0.5000017285346985,0.00018505784100852907,0.49973466992378235,0.5002691745758057,1.7285346984863281e-06
layer1,communication,0,scout,1,relay,0.5987077355384827,0.0001047977784764953,0.5984885096549988,0.5988925695419312,0.09870773553848267
layer1,communication,0,scout,2,attacker,0.5,0.0,0.5,0.5,0.0
layer1,communication,0,scout,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,communication,0,scout,4,target,0.5,0.0,0.5,0.5,0.0
layer1,communication,1,relay,0,scout,0.5986945629119873,0.0001234823721460998,0.5984381437301636,0.5989267230033875,0.0986945629119873
layer1,communication,1,relay,1,relay,0.4999707341194153,0.00016462965868413448,0.4997321665287018,0.5002696514129639,2.9265880584716797e-05
layer1,communication,1,relay,2,attacker,0.5986833572387695,7.971783634275198e-05,0.5985013842582703,0.5988286733627319,0.09868335723876953
layer1,communication,1,relay,3,interceptor,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer1,communication,1,relay,4,target,0.5,0.0,0.5,0.5,0.0
layer1,communication,2,attacker,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,communication,2,attacker,1,relay,0.5986838936805725,0.00010472185385879129,0.5984672904014587,0.5989289283752441,0.09868389368057251
layer1,communication,2,attacker,2,attacker,0.5000253915786743,0.00015485311450902373,0.4997752606868744,0.5002601742744446,2.5391578674316406e-05
layer1,communication,2,attacker,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer1,communication,2,attacker,4,target,0.5,0.0,0.5,0.5,0.0
layer1,communication,3,interceptor,0,scout,0.5,0.0,0.5,0.5,0.0
layer1,communication,3,interceptor,1,relay,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer1,communication,3,interceptor,2,attacker,0.5,0.0,0.5,0.5,0.0
