step,uav0_x,uav0_y,uav1_x,uav1_y,uav2_x,uav2_y,target0_x,target0_y
0,7.000000,0.000000,-3.500000,6.062178,-3.500000,-6.062178,-1.933890,1.253081
1,6.864230,0.024706,-3.464216,5.951835,-3.473250,-5.966860,-2.072730,1.309856
2,6.710750,0.052635,-3.423496,5.826273,-3.470584,-5.853891,-2.218842,1.343785
3,6.539561,0.083786,-3.377840,5.685491,-3.436269,-5.731615,-2.368494,1.354003
4,6.350663,0.118160,-3.360880,5.522370,-3.432942,-5.590654,-2.517862,1.340249
5,6.144056,0.155756,-3.305353,5.351149,-3.391061,-5.441420,-2.663131,1.302873
6,5.919740,0.196574,-3.285084,5.156200,-3.387073,-5.272467,-2.800589,1.242830
7,5.683617,0.239542,-3.264401,4.957272,-3.383062,-5.102514,-2.926726,1.161654
8,5.447495,0.282509,-3.243718,4.758344,-3.379050,-4.932561,-3.038319,1.061420
9,5.207495,0.282509,-3.223035,4.559416,-3.375039,-4.762608,-3.132518,0.944687
10,4.967495,0.282509,-3.202353,4.360488,-3.371028,-4.592655,-3.209521,0.815960
11,4.727495,0.282509,-3.223593,4.161620,-3.367016,-4.422702,-3.272110,0.679642
12,4.487495,0.282509,-3.202910,3.962692,-3.363005,-4.252749,-3.323341,0.538662
13,4.247496,0.282509,-3.224150,3.763823,-3.358994,-4.082797,-3.365514,0.394713
14,4.007496,0.282509,-3.245390,3.564954,-3.354982,-3.912844,-3.400524,0.248856
15,3.767496,0.282509,-3.266630,3.366085,-3.350971,-3.742891,-3.429889,0.101758
16,3.527496,0.282509,-3.287870,3.167216,-3.346959,-3.572939,-3.454807,-0.046158
17,3.287496,0.282509,-3.309110,2.968347,-3.342948,-3.402986,-3.476210,-0.194623
18,3.047496,0.282509,-3.330350,2.769478,-3.338937,-3.233033,-3.494817,-0.343464
19,2.811373,0.239542,-3.351590,2.570609,-3.334925,-3.063081,-3.536901,-0.487440
20,2.575251,0.196574,-3.372830,2.371740,-3.373085,-2.897419,-3.601384,-0.622872
21,2.339128,0.153607,-3.394070,2.172871,-3.369074,-2.727466,-3.686621,-0.746301
22,2.103005,0.110640,-3.415310,1.974002,-3.407234,-2.561805,-3.790434,-0.854574
23,1.866883,0.067673,-3.436550,1.775133,-3.442252,-2.409786,-3.910170,-0.944924
24,1.630760,0.024706,-3.457790,1.576264,-3.507371,-2.283597,-4.042772,-1.015044
25,1.394638,-0.018261,-3.520019,1.386192,-3.566070,-2.169850,-4.184851,-1.063143
26,1.158515,-0.061228,-3.582249,1.196120,-3.618348,-2.068544,-4.332779,-1.087991
27,0.922393,-0.104195,-3.644479,1.006047,-3.684767,-1.993787,-4.482776,-1.088954
28,0.686270,-0.147162,-3.706708,0.815975,-3.741887,-1.929496,-4.631010,-1.066008
29,0.450148,-0.190129,-3.807193,0.643051,-3.789708,-1.875671,-4.775329,-1.025116
30,0.214025,-0.233096,-3.899639,0.483961,-3.837760,-1.843190,-4.915481,-0.971662
31,-0.022097,-0.276064,-4.012473,0.359491,-3.866984,-1.810297,-5.052048,-0.909618
32,-0.258219,-0.319031,-4.114560,0.246876,-3.891839,-1.793497,-5.185691,-0.841505
33,-0.494342,-0.361998,-4.205901,0.146115,-3.916694,-1.776697,-5.328479,-0.795554
34,-0.734342,-0.361998,-4.303259,0.075962,-3.941548,-1.759896,-5.476765,-0.772938
35,-0.970464,-0.404965,-4.387636,0.015163,-3.966403,-1.743096,-5.626763,-0.773568
36,-1.210464,-0.404965,-4.459032,-0.036283,-3.991258,-1.726296,-5.775755,-0.790928
37,-1.446587,-0.447932,-4.524938,-0.065273,-4.032674,-1.711440,-5.922827,-0.820424
38,-1.686587,-0.447932,-4.570371,-0.098011,-4.080726,-1.678960,-6.067921,-0.858474
39,-1.922709,-0.490899,-4.606986,-0.114116,-4.148498,-1.654650,-6.211247,-0.902718
40,-2.162709,-0.490899,-4.643600,-0.130222,-4.229448,-1.625615,-6.353099,-0.951482
41,-2.398832,-0.533866,-4.680214,-0.146327,-4.323576,-1.591852,-6.493767,-1.003564
42,-2.634954,-0.576833,-4.731474,-0.168875,-4.430882,-1.553362,-6.633500,-1.058106
43,-2.871077,-0.619800,-4.797380,-0.197864,-4.558312,-1.541298,-6.772500,-1.114488
44,-3.107200,-0.662767,-4.877932,-0.233296,-4.691974,-1.493355,-6.910930,-1.172257
45,-3.343322,-0.705735,-4.973130,-0.275171,-4.847280,-1.478651,-7.054803,-1.214689
46,-3.579445,-0.748702,-5.082973,-0.323487,-5.016523,-1.462627,-7.201655,-1.245258
47,-3.815567,-0.791669,-5.207462,-0.378246,-5.185766,-1.446604,-7.350097,-1.266824
48,-4.051690,-0.834636,-5.346597,-0.439446,-5.355010,-1.430581,-7.499362,-1.281656
49,-4.287813,-0.877603,-5.500377,-0.507089,-5.524253,-1.414557,-7.649037,-1.291518
50,-4.523935,-0.920570,-5.668803,-0.581174,-5.693496,-1.398534,-7.798906,-1.297771
51,-4.760058,-0.963537,-5.864640,-0.621769,-5.862740,-1.382510,-7.948861,-1.301463
52,-4.996181,-1.006504,-6.047712,-0.702296,-6.031983,-1.366487,-8.098848,-1.303399
53,-5.236180,-1.006504,-6.243548,-0.742891,-6.201226,-1.350464,-8.248846,-1.304204
54,-5.472303,-1.049471,-6.439385,-0.783486,-6.370470,-1.334440,-8.398846,-1.304365
