update,loss,policy_loss,value_loss,entropy,intent_loss,intent_acc,train_avg_reward,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_steps,eval_avg_distance,eval_intent_acc
1,0.9596048891544342,-0.0029799023371497313,1.927838146686554,1.334275871515274,0.0,0.0,0.13099592924118042,0.0,0.0,0.0,248.0,13161.9921875,nan
2,0.09615633636713028,-0.001981232218288831,0.20031610131263733,2.0204825401306152,0.0,0.0,-0.04488687589764595,,,,,,
3,0.08374791778624058,-0.0011311222381973352,0.17501838877797127,2.6301535964012146,0.0,0.0,-0.04435037449002266,,,,,,
4,0.04137969668954611,-0.003492220595944673,0.0948100108653307,2.5330881476402283,0.0,0.0,-0.027258828282356262,,,,,,
5,0.970674067735672,-0.0004879597727267537,1.9450727701187134,1.3743383884429932,0.0,0.0,0.1331380009651184,0.0,0.0,0.0,245.5,13042.70361328125,nan
6,0.07085563242435455,-0.001257464915397577,0.1481873206794262,1.980563908815384,0.0,0.0,-0.03805741295218468,,,,,,
7,0.06482579279690981,-0.0015219695439254721,0.13787442818284035,2.58945369720459,0.0,0.0,-0.03833722323179245,,,,,,
8,0.05015843454748392,-0.0009450921703924031,0.10726373456418514,2.528340518474579,0.0,0.0,-0.007833742536604404,,,,,,
9,0.9695125818252563,-0.0010385885931705197,1.9439945220947266,1.4460838735103607,0.0,0.0,0.13197962939739227,,,,,,
10,0.07788220047950745,-0.001084693506223644,0.16179492324590683,1.9305695295333862,0.0,0.0,-0.036953676491975784,1.0,0.0,0.0,45.0,6535.052490234375,nan
